,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
53,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","bogotá, d.c., bogotá, d.c.",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
54,...,...,desarrollador/a,bionix co,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-bionix-co--E7636B75F88D6E4A,...,"santander, bucaramanga",en bionix sas nos encontramos en búsqueda de personal para los siguientes cargos: - desarrollador backend -...,1 de diciembre
55,...,...,desarrollador web,kikole,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-kikole-7D4D804F042AE256,...,"bogotá, d.c., bogotá, d.c.","compañía de e-commerce requiere desarrollador web bajo modalidad de freelance, con conocimientos sólidos en: -...",1 de diciembre
56,...,...,analista de sistemas tic,dime clinica neurocardiovascular s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dime-clinica-neurocardiovascular-sa-A7C85FF916953C12,"4,5","valle del cauca, cali",nos encontramos en la búsqueda de un profesional en ingeniería de sistemas para el cargo de analista de sistemas en el...,30 de noviembre
57,...,...,desarrollador wordpress,naikka,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-naikka-1F598F09FEDFE215,...,"antioquia, medellín","valoramos que conozcas el desarrollo con wordpress y que conozcas: divi builder, divi engine, divi machine, acf de...",29 de noviembre
58,...,...,desarrollador/a,omega web systems,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-omega-web-systems-1942BD5A2E2117AC,...,"bogotá, d.c., bogotá, d.c.","se necesita desarrollador web, estudiante de ingeniería de sistemas de ultimo semestre o recién egresado, con...",28 de noviembre
59,...,...,desarrollador/a,electronics to go s.a.s - e2go,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-electronics-to-go-sas-e2go-2A0A4CABC0614C0E,"4,4","bogotá, d.c., bogotá, d.c.",1. conocimiento de sistema operativo linux. 2. bases de datos relacionales y no relacionales. 3. lógica de...,28 de noviembre
60,...,...,programador/a,cereza media,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-cereza-media-sas-1ABC5696F631AEA2,...,"antioquia, medellín",oferta de trabajo para residentes en medellín o área metropolitana. buscamos tecnólogo o profesional en ingeniería de...,más de 30 días
61,...,...,programador/a,janna motors s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-janna-motors-sas-0492F7183629108E,"4,2","atlántico, barranquilla",janna motors s.a.s se encuentra en búsqueda de un programador para barranquilla. educación: carreras administrativas ...,más de 30 días
62,...,...,desarrollado de software,coex,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-coex--DCAB81F938A06049,...,"santander, bucaramanga",empresa de tecnología requiere para su equipo de trabajo desarrollador de software para desempeñar labores de...,más de 30 días
63,...,...,programador/a,mundomedicos s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mundomedicos-sas-DD3DCC3D5B0491AE,...,"antioquia, medellín","se solicita persona para desarrollo de aplicaciones móviles en android y ios, con experiencia en flutter o react....",más de 30 días
64,...,...,director/a,cercafe,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-cercafe-06EC63AD29233F1B,"4,1","risaralda, pereira",buscamos profesional titulado(a) en ingeniería de sistemas con mínimo 3 años de experiencia en cargos de dirección de...,más de 30 días
65,...,...,desarrollador/a web,igniweb s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-igniweb-76919F3C84DB919B,...,"quindio, armenia","igniweb sas requiere los siguientes perfiles para trabajar en armenia: 1. manejo de cms o framework como (wordpress,...",más de 30 días
66,...,...,frontend developer full remoto,fork & join llc,https://co.computrabajo.com/forkjoin-llc,...,- colombia,"front-end developer diseño y desarrollo de aplicaciones utilizando html 5(bootstrap), angular2+, typescript, xml, css,...",más de 30 días
67,...,...,programador/a,tecnologia juridica sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-tecnologia-juridica-sas-C78DD3BF60D9F15C,...,"antioquia, medellín","- desarrollo de interfaz backend y front end - bases de datos mysql - power apps, share point, - excel - laravel -...",más de 30 días
68,se precisa urgente,empleo destacado,desarrollador power builder/visual basic,customer operation succes s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-colombian-outsourcing-solutions-179061CB3900564C,"3,8","bogotá, d.c., bogotá, d.c.",importante empresa del sector de las telecomunicaciones se encuentra en búsqueda de tu talento. somos colombian...,hace 2 días
69,...,...,maquetador web front end,creasotol - diseño web,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-creasotol-diseno-web-9EE87E1D029ADA72,...,"tolima, ibagué",importante empresa del sector tecnológico ubicada en la ciudad de ibagué (tolima) especializada en diseño de sitios...,2 de diciembre
70,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","atlántico, soledad",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
71,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","boyacá, tunja",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
72,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","santander, bucaramanga",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
73,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","norte de santander, cúcuta",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
74,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","bolívar, cartagena de indias",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
75,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","valle del cauca, cali",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
76,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","atlántico, barranquilla",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
77,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","antioquia, medellín",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
78,...,...,php developer,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","bogotá, d.c., bogotá, d.c.",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
79,...,...,php architect,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","atlántico, soledad",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
