,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
3543,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","santander, bucaramanga","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3544,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","nariño, ipiales","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3545,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","valle del cauca, cali","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3546,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","risaralda, dosquebradas","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3547,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","norte de santander, cúcuta","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3548,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","bolívar, cartagena de indias","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3549,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","valle del cauca, buenaventura","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3550,...,...,analista de inventarios con minimo 6 meses de experiencia,punto empleo s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-punto-empleo-sa-93FF10B0152E772D,"4,2","atlántico, barranquilla","se requiere analista de inventarios, tecnólogo o estudiante de últimos semestres en carreras en administración de...",ayer
3551,...,...,supervisor de almacén,...,...,...,"cundinamarca, sopó",nos encontramos en la búsqueda de un supervisor de almacén con formación técnico o tecnólogo en área logística o...,ayer
3552,...,...,impulsadores,eficacia,https://co.computrabajo.com/eficacia,"4,4","antioquia, medellín",en eficacia s.a te estamos buscando. somos una compañía enfocada en contratar el mejor talento comercial y operativo...,ayer
3553,...,...,mensajero/a,dar ayuda temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dar-ayuda-temporal-2E134E3F93C933CB,"4,3","bogotá, d.c., bogotá, d.c.",importante multinacional del sector logístico está en la búsqueda de mensajero con moto modelo 2017 en adelante con...,ayer
3555,...,...,practicante de administración de empresas,americas business process services s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-americas-business-process-services-sa-91510608568F42DD,"4,2","bogotá, d.c., bogotá, d.c.","¡hola! ¿en busca de algo mejor para ti y tu familia? somos una gran comunidad que lleva más de 20 años en el mercado,...",ayer
3556,se precisa urgente,empleo destacado,vendedor tienda a tienda con moto,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","risaralda, pereira","importante empresa con presencia a nivel nacional, requiere para su equipo de trabajo una persona para el cargo de...",ayer
3557,se precisa urgente,empleo destacado,barman para evento de hotel,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","atlántico, barranquilla","importante restaurante de comida oriental requiere barman, bachilleres con experiencia mínima de 1 año en el cargo en...",ayer
3558,...,...,auxiliar bodega,alianza temporal s.a.s,https://co.computrabajo.com/alianzatemporal,"4,1","antioquia, medellín",importante empresa del sector requiere para su equipo de trabajo auxiliar logístico con mínimo 6 meses de experiencia...,ayer
3560,se precisa urgente,empleo destacado,analista de datos,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, funza","importante compañía,ubicada en el parque industrial latam, ( antes del peaje de siberia sobre la 80,frente a...",ayer
3561,...,...,auxiliar de almacén,jobandtalent co s a s,https://co.computrabajo.com/jobandtalent,"4,1","santander, bucaramanga",en jobandtalent empleamos a más de 25.000 profesionales en toda colombia y ofrecemos oportunidades de empleo de forma...,ayer
3562,...,...,despachador,elite logistica y rendimiento s a s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-elite-logistica-y-rendimiento-s-a-s-72E1A006808852C2,"3,8","bogotá, d.c., bogotá, d.c.","empresa de logística sector salud, requiere para su equipo de trabajo técnico o tecnólogo en logística o estudios...",ayer
3563,...,empleo destacado,coordinador hseq,conalta de occidente,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-conalta-de-occidente--AF3966B21C333159,"4,1","valle del cauca, cali",importante empresa del sector logístico en industriasde alimentos y servicios solicita profesional ingeniería de...,ayer
3564,...,...,conductor de tractomula cali yumbo contrato fijo,adecco colombia s.a.,https://co.computrabajo.com/adecco-colombia-sa,"4,3","valle del cauca, cali","nos encontramos en búsqueda de conductores de tractocamión para importante empresa de logística nacional, que residan...",ayer
3566,...,...,coordinador/a de marketing y comunicaciones,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","atlántico, barranquilla",creación e implementación del plan de marketing digital. facebook linkedin página app twitter yammer instagram...,ayer
3567,...,...,psicologa de seleccion,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bolívar, cartagena de indias",importante empresa de servicios temporales requiere profesional en psicología con mínimo tres años de experiencia...,ayer
3568,...,...,operador maquinaria pesada / amarilla,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante empresa especializada en el alquiler, venta y mantenimiento de equipos para trabajos en alturas se...",ayer
3569,...,...,auxiliar de bodega,gi group colombia,https://co.computrabajo.com/gigroupcolombia,...,"santander, bucaramanga","empresa de bucaramanga requerimos auxiliares de bodega, jóvenes proactivos, sin experiencia y bachilleres. actitud...",ayer
3570,...,...,surtidor de farmacia / droguería con moto cali,eficacia,https://co.computrabajo.com/eficacia,"4,4","valle del cauca, cali",importante empresa del sector alimentossolicita personal con 6 meses experiencia en logística hombres y mujeres...,ayer
